Minsky: making machines do things requiring intelligence if done by men. Newell: degree a system approximates a knowledge-level system.,Compare AI's common knowledge sources.,Analyze the core goal similarity between AI development and human education.,Compare Minsky's and Newell's AI definitions.,Break down the relationship between perfect intelligence and ignorance.,Compare Minsky's and Newell's AI definitions.
Understanding involves solving emotional problems; Management involves regulating emotion in self and others.,Analyze the comparison between human and computer Emotional Intelligence performance.,Differentiate MSC's Emotional Understanding from Emotional Management.,Break down the function of Emotional Facilitation of Thought.,Differentiate Emotional identification/perception from Emotional facilitation of thought.,Differentiate MSC's Emotional Understanding from Emotional Management.
The ability to reason and to profit by experience.,Contrast the 1932 definition of intelligence with Binet's ingredients.,Contrast the two components that determine an individual's intelligence level (Macmillan 1995).,Analyze the role of subjectivity in defining intelligence.,Break down the components emphasized in the 1995 definition of intelligence.,Break down the components emphasized in the 1995 definition of intelligence.
Octopus exhibited learning by watching a trained peer. Bees exhibit communication via a complex dance routine.,Break down the complex cognitive capabilities of chimpanzees.,Differentiate the water spider�s survival method from the green heron's method based on tool use.,Analyze the difficulty in valuing intelligence in non-human creatures.,Categorize octopus learning versus bee communication.,Categorize octopus learning versus bee communication.
Humans use Fuzzy logic; Computers use binary logic for computation.,Analyze the difference in reliability for numerical computations between humans and machines.,Contrast human and computer storage composition.,Compare human versus computer ability regarding learning capacity.,Contrast human and computer logic systems.,Contrast human and computer logic systems.
Componential is the ability assessed by tests. Experimental is the ability to adapt and produce new ideas.,Break down Gardner's model by comparing Linguistic and Logical-Mathematical intelligence.,Differentiate Sternberg's Componential vs. Contextual Intelligence.,Differentiate Sternberg�s Componential from Experimental Intelligence.,Analyze the function of Contextual Intelligence within daily life.,Differentiate Sternberg�s Componential from Experimental Intelligence.
"Failure to realize optimistic claims, attack on neural networks, limited computing power, and philosophical arguments.",Break down the primary causes of the 1970s AI 'Dark Age'.,"Break down the influence of robotics on AI, leading to a new paradigm.",Contrast McCarthy�s and Minsky�s views on the necessity of human thought in AI success.,Analyze the impact of Moore's Law on solving early AI problems.,Break down the primary causes of the 1970s AI 'Dark Age'.
One type: biological AI brain given a technological body. Other type: human with integral implanted technology linked to a computer.,Analyze the general reasons for creating cyborgs in terms of human performance.,Differentiate the two types of cyborgs by origin of intelligence.,"Break down the blurring of the ""crisp divide"" between brain styles due to novel AI research.�",Differentiate the advantages of a combined cyborg brain over a standalone human brain.,Differentiate the two types of cyborgs by origin of intelligence.
Natural Language Understanding (improving instructions given in English); Natural Language Generation (computers producing ordinary English).,Break down the two sub-fields of NLP by communication direction.,Analyze the overarching goal of NLP research concerning communication.,"Compare the difficulty of creating a computer housekeeper versus a computer chess-player, per Minsky.",Differentiate the direction of communication for Natural Language Understanding and Generation.,Break down the two sub-fields of NLP by communication direction.
"Intelligence includes the ability to learn via experience, education, and training. Cognitive abilities are a combination of nature and nurture.",Compare the influence of genetic makeup and experiential histories on intellectual abilities.,"Break down the three core abilities that form the composite definition of intelligence (Gardner, Perkins, Sternberg).",Analyze the relationship between life experience and cognitive ability.,Differentiate the accepted AI knowledge source from the one viewed as science fiction.,Analyze the relationship between life experience and cognitive ability.
